tweet_id,text,sentiment,score,confidence,emotions,tone,keywords,explanation,likes,retweets,replies,views,created_at
0,"Cargar nafta y que te reintegren parte de lo que pagás 
Te contamos cómo ",positivo,70,85,"alegría,entusiasmo",promocional,"nafta,reintegro,pagás,cómo","El tweet sugiere una oportunidad de obtener un reembolso al comprar combustible, lo cual genera una connotación positiva y atractiva para el usuario.",5,0,2,2000,2025-09-20 15:02:14+00:00
1,"Todos los sábados, pagando en Axion con tu Tarjeta de Crédito Ualá, recibís un reintegro del 15%
 Tope $5000 por semana (hasta $20.000 al mes)",positivo,75,90,"entusiasmo,alegría",promocional,"reintegro,Axion,Tarjeta Ualá,descuento","El tweet ofrece un beneficio económico (reintegro), lo que genera un sentimiento positivo y puede inducir entusiasmo en el receptor.",1,0,2,1000,2025-09-20 15:02:14+00:00
2," Pagando con tu tarjeta física o desde el celu 
*Válido desde el 15 de septiembre al 31 de diciembre.",neutral,55,80,,informativo,"tarjeta física,celu,válido,septiembre,diciembre",El tweet proporciona información sobre un período de validez de una promoción o beneficio. No expresa emociones fuertes.,1,0,0,1000,2025-09-20 15:02:15+00:00
3,Esta pelea ya tiene ganador,positivo,80,90,"entusiasmo,alegría",emocional,"pelea,ganador","El tweet expresa una fuerte convicción sobre el resultado positivo de un evento ('pelea'), denotando optimismo y seguridad.",10,0,2,2000,2025-09-19 16:16:19+00:00
4,"¿Pagar menos por salir sin billetera? Existe. Y no es porque te pagó un amigo.
Te cuento cómo hacerlo ",positivo,75,85,"entusiasmo,sorpresa",promocional,"pagar menos,sin billetera,te cuento","El tweet genera curiosidad y promete una solución beneficiosa, lo que se interpreta como positivo. El tono es claramente promocional.",4,0,1,2000,2025-09-19 13:30:43+00:00
5,Agregá tus tarjetas Ualá a la wallet de tu celu y pagá acercando tu celu o reloj a la terminal y listo.,positivo,75,85,"entusiasmo,alegría",promocional,"Ualá,tarjetas,wallet,pagá,celu","El tweet promueve una funcionalidad de Ualá de manera positiva, resaltando la facilidad y conveniencia del pago con el celular.",2,0,2,1000,2025-09-19 14:12:21+00:00
6,"Además, pagando así tenés promos gigantes en: 
Supermercados 
Gastronomía 
 Transporte",positivo,80,95,"entusiasmo,alegría",promocional,"promos,supermercados,gastronomía,transporte","El tweet presenta una oferta con múltiples beneficios, lo que genera un sentimiento positivo y de oportunidad.",0,0,1,1000,2025-09-19 14:14:36+00:00
7,"Que me parta un rayo si gasté de más este mes.
El cielo:",negativo,20,85,"frustración,sarcasmo",conversacional,"rayo,gasté,mes,cielo",El tweet expresa frustración y sarcasmo ante la posibilidad de haber gastado de más. La frase 'Que me parta un rayo' es una expresión exagerada indicando negación y presagio de que lo contrario es cierto.,26,4,2,3000,2025-09-19 12:48:14+00:00
8,"Si a los 15 podés ganar un Emmy 
también podés empezar a manejar tu plata con #CuentaMenores ",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),19,0,4,6000,2025-09-15 15:31:36+00:00
9,"Hay gente que está para invertir en 8 billeteras diferentes, seguir el mercado todos los días y leer 20 hilos de X antes de mover un peso

Vos y yo sabemos que vos no.

 Acá te contamos por qué, si no sos esa gente… estás para Ualá ",positivo,70,85,"entusiasmo,alegría",promocional,"Ualá,invertir,mercado,billeteras","El tweet tiene un tono positivo y promocional, sugiriendo que Ualá es una opción accesible para aquellos que no son expertos en inversiones. Se busca generar identificación con el usuario común.",3,0,5,1000,2025-09-13 15:49:25+00:00
10,"Pagás con el celu, controlás tus gastos y tenés a descuentos en restaurantes, súper, subte y más desde un mismo lugar.",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),0,0,2,1000,2025-09-13 15:49:26+00:00
11,"Si no estás para andar saltando de app en app ni queres complicarte..

Estás para Ualá",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),0,0,0,1000,2025-09-13 15:49:27+00:00
12,"Estamos para saber qué opinan 
Andá votando

¿Te pasa que no estás para hacer filas?",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),2,0,1,1000,2025-09-12 19:26:39+00:00
13,¿Te pasa que ya no estás para ver 80 videos para entender cómo invertir?,neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),1,0,1,1000,2025-09-12 19:26:40+00:00
14,"Si todo esto te representa… Estás para dejar de complicarte 
Estás para Ualá",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),3,0,1,1000,2025-09-12 19:26:40+00:00
15,"Con Ualá no tenés que elegir entre flan o vigilante 
Este finde invitá el postre que tenés un 30% de reintegro en gastronomía.",neutral,50,40,,neutral,,Análisis básico por palabras clave (Gemini no disponible),6,0,1,2000,2025-09-12 18:23:27+00:00
