profile,text,reactions,comments,shares,created_at,followers
Brubank,"Un encuentro para hablar de finanzas, inversiones y futuro💡

Ayer realizamos una charla de educación financiera en nuestras oficinas, donde junto a los participantes conversamos y compartimos ideas sobre temas clave como dólar, inflación, tasas, inversiones globales, cierre del año y estrategias para 2026.

El encuentro fue guiado por, de, y se convirtió en un espacio de intercambio donde todos participaron y sumaron su mirada sobre cómo tomar decisiones de inversión más informados. 📈

En Brubank creemos que la educación financiera es la base para construir un futuro más consciente y sostenible, y seguimos impulsando espacios de aprendizaje como este para que cada persona pueda potenciar su relación con la plata.💜",48,2,2,06/11/2025,143922
Brubank,"Cerramos Octubre Financiero con una gran noticia: ¡más de 500 participaciones en nuestras charlas y talleres de educación financiera! 💜📚

Durante todo el mes compartimos herramientas, consejos y experiencias para seguir construyendo una comunidad más informada y con más oportunidades💡.

Queremos agradecer a todas las personas que participaron y a las empresas que se sumaron a esta iniciativa colaborativa para promover la educación financiera en Argentina,  equipos de,,,,y.

Seguimos impulsando espacios que acerquen el conocimiento financiero a más personas, para que puedan tomar decisiones con confianza y libertad🤝.",54,1,1,03/11/2025,143922
Brubank,"🩷 𝗢𝗰𝘁𝘂𝗯𝗿𝗲 𝗥𝗼𝘀𝗮: 𝗽𝗿𝗲𝘃𝗲𝗻𝗶𝗿 𝘁𝗮𝗺𝗯𝗶𝗲́𝗻 𝗲𝘀 𝗰𝘂𝗶𝗱𝗮𝗿𝗻𝗼𝘀

En el marco del mes de concientización y prevención del cáncer de mama, organizamos junto a OSDE una charla informativa para reflexionar sobre la importancia del cuidado y la detección temprana.

Durante el encuentro, compartimos data clave sobre cómo prevenir, detectar a tiempo y cuidar nuestra salud, aprendiendo sobre factores de riesgo, autoexamen y hábitos saludables que pueden marcar la diferencia.

Fue un espacio sumamente positivo y necesario, que nos invitó a frenar por un momento la rutina para pensar en nuestra salud y reforzar el compromiso con el autocuidado.

Agradecemos al equipo dey a la Dra.por su calidez, profesionalismo y por aportarnos tanto valor.💗",42,2,2,27/10/2025,143922
Brubank,"Impulsando una industria financiera más diversa e inclusiva 🌈 

Desde la Comisión de Género, Diversidad e Inclusión del Protocolo de Finanzas Sostenibles, desarrollamos una guía práctica con conceptos fundamentales e introductorios sobre diversidad, equidad e inclusión, pensada para acompañar y compartir con las personas que se suman a las distintas entidades financieras como parte del proceso de Onboarding.

Este material es el resultado de la colaboración entre profesionales de diversas organizaciones, unidos por un mismo propósito: promover la diversidad, la equidad y la inclusión desde el primer día. 💜

Agradecemos alpor impulsar este trabajo conjunto y a todas las personas que aportaron su mirada y energía para construir este paso histórico para la industria.

Sigamos siendo agentes de cambio y revolucionando el sistema financiero argentino.✨",69,2,2,20/10/2025,143922
Brubank,"Más personas, más ideas, más futuro 🚀 

Durante el Q3, nuevos talentos se unieron a Brubank para lograr un impacto real en el sistema financiero.

Equipos como Desarrollo, Infraestructura, Data, Seguridad Informática, Banca Empresas, Operaciones, Riesgos No Financieros y Tesorería crecen con personas llenas de energía y ganas de desafiar lo establecido.

¡Gracias por elegirnos! 💜",114,2,2,11/10/2025,143922
Brubank,"Estuvimos presentes en Somos Pymes Córdoba 2025📅

En esta nueva edición compartimos junto a referentes del sector cómo la digitalización está transformando la manera en que las PyMEs gestionan sus finanzas.

👉 “Estamos redefiniendo la manera en que las PyMEs acceden a servicios financieros. Hoy somos el banco de las startups y los emprendedores, eliminando la burocracia tradicional y ofreciendo soluciones reales, pensadas para sus necesidades.” —, Head de Banca Empresas de Brubank, en el panel “Financiamiento para PyMEs”.

Además, en nuestro stand presentamos las soluciones de Brubank Empresas: apertura de cuenta 100% digital, créditos en 24 horas, pagos y transferencias inmediatas, cuenta remunerada y mucho más.

Con más de 5.000 PyMEs que ya confían en nosotros, seguimos acompañando a las empresas de todo el país en su crecimiento, brindando herramientas simples, ágiles y digitales🚀",41,0,1,11/09/2025,143922
Brubank,"✨ Lanzamos Pago Mágico en Brubank Empresas

Una solución simple y flexible para que pagar sueldos y proveedores deje de ser un problema. Ahora es tan fácil como subir un archivo y hacer clic.

Podés subir tus archivos con los pagos en distintos formatos, sin un orden preestablecido🙌. Nosotros nos adaptamos a tu empresa, lo analizamos con inteligencia artificial y te mostramos un resumen listo para confirmar, desde el celular y estés donde estés😉.
🧠Lectura de archivos con IA
📱 Pago masivo de sueldos y proveedores en minutos
⚡️ Simple, rápido y 100% digital

Una solución mágica que se adapta a tu forma de trabajar🪄",62,2,2,12/08/2025,143922
Brubank,"Octubre Financiero💡 
Seis empresas B del mundo financiero nos unimos para acercar herramientas de educación financiera que te ayuden a tomar mejores decisiones con tu dinero, entender el contexto y proyectar tu futuro.

Durante todo octubre:
🤝Encuentros abiertos, gratuitos y online, organizado por las 6 empresas B financieras de Argentina.
🖋️Algunas temáticas: conceptos económicos para entender el contexto actual, finanzas personales, sobreendeudamiento, ciberseguridad, fraude y ludopatía adolescente, inversiones y finanzas de impacto.

Sumate a este espacio colaborativo donde el conocimiento financiero se comparte para generar más inclusión.

🔗Inscribite:

¡Te esperamos!
Equipos de,,,,y Brubank💜",29,1,1,11/10/2025,143922
Brubank,"Informe de Sustentabilidad 2024: Gestión de impacto social y ambiental💚

Por segundo año consecutivo, compartimos nuestro Informe de sustentabilidad, una mirada integral a todo lo que hicimos (y seguimos haciendo) para potenciar el impacto positivo desde Brubank.

Seguimos trabajando sobre nuestros 4 pilares: inclusión financiera, impacto ambiental, relación con la comunidad y cultura Brubank.
Este informe refleja nuestro compromiso con un sistema financiero más accesible, transparente y responsable.

Te invitamos a conocer nuestras métricas, alianzas y testimonios.
Estamos en la nube, pero siempre con los pies en la tierra.🌎",62,3,3,14/05/2025,143922
Brubank,"Compartimos lo que nos mueve: cultura, innovación y talento 🔥

En Brubank tuvimos la alegría de recibir en nuestra casa a estudiantes y egresados de💜

Entre charlas, risas y anécdotas, los equipos de Marketing y People se unieron para compartir el detrás de escena de Brubank: nuestro recorrido como marca, los productos que fuimos lanzando, los desafíos que enfrentamos día a día, y la cultura que nos impulsa a seguir innovando.

También conversamos sobre las competencias que más valoramos al atraer talento, cómo potenciar los perfiles profesionales y animarse a dar ese paso hacia el puesto que sueñan alcanzar. 🚀

Fue una experiencia enriquecedora para todas las partes, llena de aprendizajes y trabajo en equipo. Gracias a cada persona que participó y a Semillero Digital por acompañarnos en la organización y hacerlo posible.",95,6,6,20/10/2025,143922
