tweet_id,text,sentiment,score,confidence,emotions,tone,keywords,explanation,likes,retweets,replies,views,created_at
0,¿Tenés dudas o consultas? Escribinos por WhatsApp todos los días las 24 horas y recibí respuesta al toque.,positivo,85,90,"entusiasmo,alegría",promocional,"WhatsApp,24 horas,respuesta,consultas","El tweet ofrece un servicio de atención al cliente rápido y disponible todo el tiempo, generando una sensación positiva y de utilidad.",110,77,0,224000,2023-08-04 14:44:26+00:00
1," Like si siempre apoyás la tarjeta vos. 

Comentá si sos vos el que entrega la tarjeta.

La forma correcta es esta ",positivo,70,85,"entusiasmo,alegría",conversacional,"apoyás la tarjeta,entrega la tarjeta,forma correcta","El tweet tiene un tono positivo e invita a la interacción, mostrando apoyo y ofreciendo una 'forma correcta' de actuar, lo que sugiere una actitud favorable.",4,0,10,2000,2025-09-19 14:58:22+00:00
2,"¡No pierdas de vista tu tarjeta! 
 Así evitás clonaciones o cualquier tipo de estafa. 

Más info: 
galicia.ar/personas/preve
…

Tenés tips de seguridad.
Tenés Galicia.",positivo,70,85,"seguridad,confianza",informativo,"tarjeta,clonaciones,estafa,seguridad,Galicia","El tweet busca generar confianza y seguridad en los clientes al informar sobre cómo evitar fraudes con sus tarjetas, lo cual es un sentimiento positivo.",1,1,4,1000,2025-09-19 14:59:01+00:00
3,"Una simple tilde te puede ahorrar un gran problema 

Chequeá siempre que la cuenta Galicia esté verificada y evitá caer en una estafa.

Más info: 
galicia.ar/personas/preve
…

Tenés tips de seguridad. 
Tenés Galicia ",positivo,70,90,"alivio,seguridad",informativo,"tilde,estafa,Galicia,seguridad","El tweet busca prevenir estafas, generando un sentimiento positivo al ofrecer seguridad y consejos.",2,1,10,3000,2025-08-08 18:02:01+00:00
4,"Sabemos cuáles son esas dudas que te quitan el sueño, y estamos acá para resolverlas. Abrimos hilo ",positivo,75,90,"entusiasmo,confianza",promocional,"dudas,resolverlas,abrimos,hilo,sueño",El tweet muestra un sentimiento positivo al ofrecer ayuda y soluciones a las dudas del usuario. El tono es promocional al anunciar la apertura de un hilo para resolver preguntas.,3,0,16,3000,2025-08-01 20:13:23+00:00
5,"¿Voy a ganar entradas gratis en el próximo concurso de Galicia? 

Hay muchos ganadores. Tené fe, juntá likes y ¡cruzá los dedos!",positivo,75,85,"entusiasmo,esperanza",conversacional,"ganar entradas,concurso Galicia,tené fe","El tweet expresa optimismo y esperanza de ganar un concurso, con un tono alentador y positivo.",1,0,3,3000,2025-08-01 20:14:36+00:00
6,"¿Qué hago si me piden el Token Galicia? 

No lo compartas nunca. Es solo tuyo y es confidencial.

Tenés tips de seguridad. 
Tenés Galicia ",positivo,70,85,"seguridad,confianza",informativo,"Token Galicia,seguridad,confidencial","El tweet ofrece información y consejos de seguridad, generando una sensación positiva al proteger al usuario. El recordatorio de la confidencialidad del Token refuerza esta positividad.",4,0,5,2000,2025-08-01 20:14:59+00:00
7,"¡AY qué susto! 
Con Galicia tenés las promos que te gustan, con reintegros al toque.

Encontrá en la App Galicia todos los beneficios, para disfrutar y ahorrar. 

Más información: 
galicia.ar/personas/busca
…",positivo,85,90,"alegría,entusiasmo",promocional,"promos,Galicia,reintegros,ahorrar,beneficios","El tweet promueve beneficios y reintegros con un tono positivo y entusiasta, invitando al usuario a disfrutar y ahorrar con la App Galicia.",5,2,7,3000,2025-07-30 15:34:06+00:00
8,"¿Cómo actuar frente a un mail dudoso?

 Frená un segundo.
 No hagas clic en enlaces ni adjuntos. 
 Reportalo mandándonos un mail a phishing@bancogalicia.com.ar.

Conocé más: 
galicia.ar/personas/preve
…

Tenés tips de seguridad. 
Tenés Galicia ",positivo,70,85,"confianza,seguridad",informativo,"mail dudoso,phishing,seguridad,tips","El tweet proporciona información útil y consejos para protegerse del phishing, lo que genera un sentimiento positivo al ofrecer soluciones y seguridad.",6,2,15,3000,2025-07-25 19:56:01+00:00
9,"Es simple, ninguna persona te va a pedir el Token Galicia.

Es un dato personal y confidencial, no se lo pases a nadie.

Más info: 
galicia.ar/personas/preve
…

Tenés tips de seguridad.
Tenés Galicia ",positivo,75,90,"confianza,seguridad",informativo,"Token Galicia,dato personal,seguridad,confidencial","El tweet proporciona información de seguridad y previene fraudes, promoviendo un mensaje positivo y protector para los usuarios.",2,0,14,3000,2025-07-18 17:34:33+00:00
